;;;;Valabile începând cu data de 01 AUGUST 2025
ANEXA 7;;;;
TARIFE EMS;;;;
Lei (TVA inclus);;;;
;;;;
Nr.       crt.;Administratia de destina?ie;Tarif pân? la 500g                (lei);Tarif                 501 - 1.000g     (lei);Tarif peste 1 Kg     (de fiecare kg    sau frac?ie de kg)   (lei)       
;;;;
0;1;2;3;4
1;AFRICA DE SUD;148,45;179,97;62,03
2;ALBANIA;142,35;158,62;32,54
3;ALGERIA;147,44;165,74;35,59
4;ARABIA SAUDITA;169,81;187,09;32,54
5;ARGENTINA;143,37;175,91;63,04
6;AUSTRALIA;232,85;292,84;118,97
7;AUSTRIA ;121,00;130,15;17,29
8;BELARUS;Trafic suspendat;Trafic suspendat;Trafic suspendat
9;BELGIA;135,24;145,40;18,30
10;BOSNIA HERZEGOVINA;131,17;146,42;28,47
11;BRAZILIA;170,82;196,24;50,84
12;BULGARIA;128,12;139,30;21,35
13;CAMERUN;Trafic suspendat;Trafic suspendat;Trafic suspendat
14;CANADA;133,20;165,74;63,04
15;CHILE;Trafic suspendat;Trafic suspendat;Trafic suspendat
16;CHINA;98,63;126,08;53,89
17;CIPRU;141,34;157,61;30,50
18;COASTA DE FILDES;135,24;163,71;54,91
19;COLUMBIA;129,13;151,50;43,72
20;CROATIA;109,82;124,05;28,47
21;CUBA;Trafic suspendat;Trafic suspendat;Trafic suspendat
22;DANEMARCA;185,06;193,19;17,29
23;DJIBUTI;Trafic suspendat;Trafic suspendat;Trafic suspendat
24;ECUADOR;150,49;184,04;66,09
25;EGIPT;133,20;149,47;32,54
26;ELVETIA;176,92;186,08;17,29
27;EMIRATELE ARABE;147,44;160,66;24,40
28;ESTONIA;145,40;159,64;28,47
29;ETIOPIA;170,82;196,24;50,84
30;FILIPINE;133,20;149,47;32,54
31;FINLANDA;171,84;185,06;24,40
32;FRANTA;112,87;124,05;22,37
33;GABON;Trafic suspendat;Trafic suspendat;Trafic suspendat
34;GEORGIA;153,54;171,84;35,59
35;GERMANIA;186,08;193,19;13,22
36;GHANA;183,03;211,50;54,91
37;GRECIA;147,44;160,66;24,40
38;GUERNSEY;225,73;234,88;16,27
39;GUINEEA;Trafic suspendat;Trafic suspendat;Trafic suspendat
40;HONG KONG;170,82;189,13;35,59
41;INDIA;133,20;149,47;32,54
42;INDONEZIA;161,67;179,97;34,57
43;INSULELE MALDIVE;129,13;141,34;23,39
