;;Anexa 6;
TARIFE VALABILE ÎNCEPÂND CU 01 AUGUST 2025;;;
"Tarife pentru COLETE EXTERNE cu greutate ≤ 10 kg (inclusiv) din categoria Colete expediate ""in numar mare"" si pentru colete externe peste 10 kg
 [TVA INCLUS] ";;;
;;;
Nr. crt;Tara;PRIORITAR;
;;"Tarif fix colet
(lei)";"Tarif/kg
(lei)"
1;AFGHANISTAN;130,15;68,13
2;AFRICA DE SUD;106,76;58,97
3;ALBANIA;105,75;43,72
4;ALGERIA;100,66;58,97
5;ANDORA ;113,88;35,59
6;ANGOLA;124,05;48,81
7;ANGUILLA ;97,61;68,13
8;ANTIGUA ET BARBUDA;96,60;58,97
9;ARABIA SAUDITA;87,45;59,99
10;ARGENTINA;104,73;66,09
11;ARMENIA;111,85;52,87
12;ARUBA ;108,80;67,11
13;ASCENSION ;115,92;79,31
14;AUSTRALIA;106,76;135,24
15;AUSTRIA;59,99;27,45
16;AZERBAIDJAN;106,76;50,84
17;BAHAMAS;99,65;66,09
18;BAHRAIN;97,61;52,87
19;BANGLADESH;90,50;49,82
20;BARBADOS;102,70;63,04
21;BELARUS;Suspendat temporar;Suspendat temporar
22;BELGIA;67,11;27,45
23;BELIZE;118,97;76,26
24;BENIN;105,75;51,86
25;BERMUDA;118,97;58,97
26;BHUTAN;112,87;43,72
27;BOLIVIA;107,78;73,21
28;BOSNIA SI HERZEGOVINA;109,82;38,64
29;BOTSWANA;110,83;68,13
30;BRAZILIA;114,90;72,19
31;BRUNEI DARUSSALAM;104,73;82,36
32;BULGARIA;55,92;24,40
33;BURKINA FASO;124,05;58,97
34;BURUNDI;143,37;57,96
35;CAMBODGIA;88,46;56,94
36;CAMERUN;116,93;55,92
37;CANADA;112,87;68,13
38;CAPUL VERDE;118,97;52,87
39;CEHA REP.;57,96;25,42
40;CENTRAFRICANA REP.;121,00;55,92
41;CHILE;123,03;73,21
42;CHINA;93,55;51,86
43;CIAD;121,00;48,81
44;CIPRU;69,14;39,66
45;COASTA DE FILDES REP.;115,92;54,91
46;COLUMBIA;112,87;56,94
47;COMORES;119,98;66,09
48;CONGO (REP.);109,82;67,11
49;CONGO REP.DEM. (ex Zair);121,00;59,99
50;COREE REP.POP.DEM. ;103,71;47,79
51;COREEA REP.;102,70;87,45
52;COSTA RICA;109,82;63,04
53;CROATIA;62,03;31,52
54;CUBA;92,53;77,28
55;CURACAO;115,92;70,16
56;DANEMARCA;82,36;27,45
57;DJIBUTI;114,90;55,92
58;DOMINICA;98,63;61,01
59;DOMINICANA REP.;82,36;58,97
60;ECUADOR;100,66;63,04
61;EGIPT;97,61;48,81
62;EL SALVADOR;90,50;58,97
63;ELVETIA;91,51;27,45
64;EMIRATELE ARABE UNITE;85,41;39,66
65;ERITREEA;137,27;51,86
66;ESTONIA;66,09;31,52
67;ESWATINI;83,38;66,09
68;ETIOPIA;84,39;63,04
69;FEDERATIA RUSA;Suspendat temporar;Suspendat temporar
70;FIJI;91,51;97,61
71;FILIPINE;76,26;40,67
72;FINLANDA;72,19;31,52
73;FRANTA;79,31;25,42
74;GABON;117,95;58,97
75;GAMBIA;119,98;49,82
76;GEORGIA;128,12;55,92
77;GEORGIA DE SUD si SANDWICH DE SUD;92,53;96,60
78;GERMANIA;55,92;24,40
79;GHANA;154,55;61,01
80;GIBRALTAR;83,38;37,62
81;GRECIA;73,21;35,59
82;GRENADA;104,73;62,03
83;GROENLANDA;200,31;53,89
84;GUADELUPA ( SAINT BARTHELEMY, SAINT MARTIN);148,45;64,06
85;GUATEMALA;81,34;70,16
86;GUERNSEY;153,54;54,91
87;GUINEEA;109,82;53,89
88;GUINEEA BISSAU;134,22;48,81
89;GUINEEA EQUATORIALA;96,60;51,86
90;GUYANE;117,95;73,21
91;GUYANE FRANCEZA;148,45;63,04
92;HAITI;101,68;72,19
93;HONDURAS ;85,41;54,91
94;HONG KONG;123,03;50,84
95;INDIA;111,85;41,69
96;INDONEZIA;105,75;76,26
97;"Ins. CARIBIENE
(Bonaire, Saba, S. Eustatius)";111,85;69,14
98;INS. CAYMAN ;116,93;71,18
99;INS. CANARE;225,73;30,50
100;INS. COOK;124,05;110,83
101;INS. FALKLAND (MALVINAS);92,53;96,60
102;INS. FEROE ;131,17;42,71
103;INS. MAN;210,48;47,79
104;INS. NORFOLK ;106,76;135,24
105;INS. SOLOMON ;81,34;142,35
106;INS. TURKS SI CAICOS;102,70;35,59
107;INS. VIRGINE BRITANICE;98,63;64,06
108;IORDANIA;98,63;53,89
109;IRAK;92,53;49,82
110;IRAN;135,24;79,31
111;IRLANDA;69,14;33,55
112;ISLANDA;162,69;46,77
113;ISRAEL;111,85;43,72
114;ITALIA;77,28;27,45
115;JAMAICA;114,90;67,11
116;JAPONIA;101,68;55,92
117;JERSEY;125,07;48,81
118;KARGAZSTAN;92,53;56,94
119;KAZAHSTAN;136,25;81,34
120;KENYA;91,51;44,74
121;KIRIBATI;86,43;149,47
122;KOSOVO;106,76;39,66
123;KUWAIT;92,53;56,94
124;LAO REP. POP. DEM.;93,55;57,96
125;LESOTHO;96,60;67,11
126;LETONIA;56,94;34,57
127;LIBAN;99,65;88,46
128;LIBERIA;104,73;51,86
129;LIBIA;113,88;58,97
130;LIECHTENSTEIN;104,73;30,50
131;LITUANIA;64,06;31,52
132;LUXEMBURG;55,92;26,44
133;MACAO;116,93;64,06
134;MACEDONIA DE NORD;96,60;42,71
135;MADAGASCAR;139,30;66,09
136;MALAEZIA;95,58;46,77
137;MALAWI;122,02;73,21
138;MALDIVE;96,60;52,87
139;MALI;113,88;30,50
140;MALTA;67,11;37,62
141;MAREA BRITANIE;123,03;29,49
142;MAROC;105,75;56,94
143;MARTINICA;148,45;64,06
144;MAURITANIA;123,03;49,82
145;MAURITIUS;121,00;54,91
146;MAYOTTE;148,45;71,18
147;MEXIC;53,89;57,96
148;MOLDOVA REP.;65,08;18,30
149;MONACO;122,02;28,47
150;MONGOLIA;109,82;71,18
151;MONTSERRAT;65,08;18,30
152;MOZAMBIC;113,88;70,16
153;MUNTENEGRU;121,00;36,61
154;MYANMAR;85,41;81,34
155;NAMIBIA;96,60;75,24
156;NAURU;81,34;148,45
157;NEPAL;83,38;45,76
158;NICARAGUA;84,39;61,01
159;NIGER;102,70;57,96
160;NIGERIA;116,93;69,14
161;NIUE;124,05;108,80
162;NORVEGIA;86,43;30,50
163;NOUA CALEDONIE;136,25;139,30
164;NOUA ZEELANDA;116,93;94,56
165;OLANDA;66,09;25,42
166;OMAN;102,70;62,03
167;PAKISTAN;90,50;37,62
168;PALESTINA;Suspendat temporar;Suspendat temporar
169;PANAMA;85,41;59,99
170;PAPUA NOUA GUINEE;121,00;151,50
171;PARAGUAY;82,36;81,34
172;PERU;104,73;56,94
173;PITCAIRN (Pitcairn, Henderson, Ducie, Oeno);116,93;136,25
174;POLINEZIA FRANCEZA (inclusiv Ins.CLIPERTON);127,10;107,78
175;POLONIA;64,06;29,49
176;PORTUGALIA, AZORE, MADEIRA;67,11;33,55
177;QATAR;95,58;50,84
178;REUNION;148,45;77,28
179;RWANDA;128,12;59,99
180;SAINT KITTS SI NEVIS;105,75;59,99
181;SAINT PIERRE SI MIQUELON;148,45;76,26
182;SAINT VINCENT SI GRENADINES;107,78;66,09
183;SAMOA OCCIDENTALA;84,39;161,67
184;SAN MARINO;107,78;31,52
185;SAO TOME SI PRINCIPE;97,61;57,96
186;SENEGAL;111,85;49,82
187;SERBIA;105,75;33,55
188;SEYCHELLES;116,93;65,08
189;SF. ELENA;110,83;110,83
190;SF. LUCIA;99,65;59,99
191;SIERRA LEONE;108,80;54,91
